Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Validity?,Label Preservation?
293_SVHN_sd_high_iteration1_X3_Y8,293,SVHN,sd,high,1,3,8,8,Not a House Number,1,1,0,1,N/A,no
167_SVHN_gan_low_iteration75_X2_Y1,167,SVHN,gan,low,75,2,1,2,2,0,0,0,0,yes,yes
59_SVHN_vae_high_iteration21_X6_Y8,59,SVHN,vae,high,21,6,8,8,Not a House Number,1,1,0,1,N/A,no
346_SVHN_sd_low_iteration50_X9_Y8,346,SVHN,sd,low,50,9,8,9,Not a House Number,0,1,0,1,N/A,N/A
369_SVHN_sd_low_iteration163_X9_Y8,369,SVHN,sd,low,163,9,8,8,Not a House Number,1,1,0,1,N/A,no
92_SVHN_gan_high_iteration19_X1_Y4,92,SVHN,gan,high,19,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
106_SVHN_gan_high_iteration32_X2_Y1,106,SVHN,gan,high,32,2,1,2,Not a House Number,0,1,0,1,N/A,N/A
340_SVHN_sd_low_iteration1_X8_Y3,340,SVHN,sd,low,1,8,3,8,Not a House Number,0,1,0,1,N/A,N/A
33_SVHN_vae_high_iteration12_X1_Y3,33,SVHN,vae,high,12,1,3,0,3,1,1,0,0,yes,no
20_SVHN_vae_high_iteration39_X4_Y6,20,SVHN,vae,high,39,4,6,0,Not a House Number,1,1,0,1,N/A,no
191_SVHN_vae_low_iteration91_X8_Y6,191,SVHN,vae,low,91,8,6,5,2,1,1,0,0,yes,no
123_SVHN_gan_high_iteration15_X7_Y0,123,SVHN,gan,high,15,7,0,7,Not a House Number,0,1,0,1,N/A,N/A
169_SVHN_gan_low_iteration11_X5_Y6,169,SVHN,gan,low,11,5,6,5,Not a House Number,0,1,0,1,N/A,N/A
298_SVHN_sd_high_iteration1_X7_Y3,298,SVHN,sd,high,1,7,3,8,Not a House Number,1,1,0,1,N/A,no
231_SVHN_sd_high_iteration8_X4_Y1,231,SVHN,sd,high,8,4,1,4,Not a House Number,0,1,0,1,N/A,N/A
278_SVHN_sd_high_iteration6_X2_Y0,278,SVHN,sd,high,6,2,0,9,2,1,0,0,0,yes,N/A
154_SVHN_gan_low_iteration150_X4_Y1,154,SVHN,gan,low,150,4,1,2,Not a House Number,1,1,0,1,N/A,no
35_SVHN_vae_high_iteration23_X1_Y2,35,SVHN,vae,high,23,1,2,2,Not a House Number,1,1,0,1,N/A,no
224_SVHN_sd_high_iteration1_X9_Y0,224,SVHN,sd,high,1,9,0,Not a House Number,0,1,1,1,0,N/A,no
57_SVHN_vae_high_iteration26_X2_Y1,57,SVHN,vae,high,26,2,1,1,Not a House Number,1,1,0,1,N/A,no
23_SVHN_vae_high_iteration23_X1_Y4,23,SVHN,vae,high,23,1,4,1,Not a House Number,0,1,0,1,N/A,N/A
247_SVHN_sd_high_iteration6_X1_Y2,247,SVHN,sd,high,6,1,2,1,Not a House Number,0,1,0,1,N/A,N/A
282_SVHN_sd_high_iteration1_X0_Y2,282,SVHN,sd,high,1,0,2,2,2,1,1,0,0,yes,no
171_SVHN_gan_low_iteration189_X2_Y7,171,SVHN,gan,low,189,2,7,2,2,0,0,0,0,yes,yes
31_SVHN_vae_high_iteration25_X1_Y4,31,SVHN,vae,high,25,1,4,1,Not a House Number,0,1,0,1,N/A,N/A
302_SVHN_sd_high_iteration1_X6_Y5,302,SVHN,sd,high,1,6,5,9,Not a House Number,1,1,0,1,N/A,no
6_SVHN_vae_high_iteration1_X8_Y6,6,SVHN,vae,high,1,8,6,1,Not a House Number,1,1,0,1,N/A,no
322_SVHN_sd_low_iteration47_X0_Y1,322,SVHN,sd,low,47,0,1,1,Not a House Number,1,1,0,1,N/A,no
27_SVHN_vae_high_iteration3_X6_Y4,27,SVHN,vae,high,3,6,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
124_SVHN_gan_high_iteration22_X5_Y6,124,SVHN,gan,high,22,5,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
347_SVHN_sd_low_iteration122_X0_Y6,347,SVHN,sd,low,122,0,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
222_SVHN_sd_high_iteration1_X4_Y1,222,SVHN,sd,high,1,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
217_SVHN_vae_low_iteration237_X5_Y4,217,SVHN,vae,low,237,5,4,Not a House Number,9,1,1,1,0,N/A,no
243_SVHN_sd_high_iteration1_X1_Y2,243,SVHN,sd,high,1,1,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
3_SVHN_vae_high_iteration18_X1_Y4,3,SVHN,vae,high,18,1,4,Not a House Number,1,1,0,1,0,N/A,N/A
30_SVHN_vae_high_iteration52_X1_Y2,30,SVHN,vae,high,52,1,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
153_SVHN_gan_low_iteration43_X9_Y2,153,SVHN,gan,low,43,9,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
285_SVHN_sd_high_iteration9_X1_Y0,285,SVHN,sd,high,9,1,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
88_SVHN_gan_high_iteration27_X8_Y2,88,SVHN,gan,high,27,8,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
81_SVHN_gan_high_iteration45_X3_Y1,81,SVHN,gan,high,45,3,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
49_SVHN_vae_high_iteration4_X3_Y8,49,SVHN,vae,high,4,3,8,8,9,1,1,0,0,yes,no
14_SVHN_vae_high_iteration93_X3_Y9,14,SVHN,vae,high,93,3,9,3,3,0,0,0,0,yes,yes
163_SVHN_gan_low_iteration114_X3_Y1,163,SVHN,gan,low,114,3,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
265_SVHN_sd_high_iteration1_X3_Y2,265,SVHN,sd,high,1,3,2,2,Not a House Number,1,1,0,1,N/A,no
94_SVHN_gan_high_iteration9_X9_Y4,94,SVHN,gan,high,9,9,4,9,9,0,0,0,0,yes,yes
288_SVHN_sd_high_iteration20_X6_Y5,288,SVHN,sd,high,20,6,5,3,3,1,1,0,0,yes,no
326_SVHN_sd_low_iteration23_X4_Y6,326,SVHN,sd,low,23,4,6,4,4,0,0,0,0,yes,yes
370_SVHN_sd_low_iteration108_X9_Y1,370,SVHN,sd,low,108,9,1,2,2,1,1,0,0,yes,no
245_SVHN_sd_high_iteration188_X0_Y6,245,SVHN,sd,high,188,0,6,Not a House Number,9,1,1,1,0,N/A,no
63_SVHN_vae_high_iteration6_X3_Y2,63,SVHN,vae,high,6,3,2,2,7,1,1,0,0,yes,no
145_SVHN_gan_high_iteration2_X8_Y6,145,SVHN,gan,high,2,8,6,6,8,1,0,0,0,yes,N/A
264_SVHN_sd_high_iteration1_X0_Y9,264,SVHN,sd,high,1,0,9,Not a House Number,0,1,0,1,0,N/A,N/A
9_SVHN_vae_high_iteration6_X1_Y7,9,SVHN,vae,high,6,1,7,2,Not a House Number,1,1,0,1,N/A,no
286_SVHN_sd_high_iteration5_X7_Y1,286,SVHN,sd,high,5,7,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
210_SVHN_vae_low_iteration60_X0_Y6,210,SVHN,vae,low,60,0,6,8,Not a House Number,1,1,0,1,N/A,no
303_SVHN_sd_high_iteration1_X0_Y9,303,SVHN,sd,high,1,0,9,9,Not a House Number,1,1,0,1,N/A,no
366_SVHN_sd_low_iteration75_X5_Y8,366,SVHN,sd,low,75,5,8,5,5,0,0,0,0,yes,yes
142_SVHN_gan_high_iteration21_X8_Y6,142,SVHN,gan,high,21,8,6,8,2,0,1,0,0,yes,N/A
321_SVHN_sd_low_iteration201_X7_Y1,321,SVHN,sd,low,201,7,1,Not a House Number,2,1,1,1,0,N/A,no
161_SVHN_gan_low_iteration19_X5_Y6,161,SVHN,gan,low,19,5,6,5,5,0,0,0,0,yes,yes
261_SVHN_sd_high_iteration7_X1_Y3,261,SVHN,sd,high,7,1,3,Not a House Number,0,1,1,1,0,N/A,no
117_SVHN_gan_high_iteration46_X5_Y6,117,SVHN,gan,high,46,5,6,6,5,1,0,0,0,yes,N/A
207_SVHN_vae_low_iteration98_X8_Y6,207,SVHN,vae,low,98,8,6,8,8,0,0,0,0,yes,yes
232_SVHN_sd_high_iteration57_X2_Y3,232,SVHN,sd,high,57,2,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
5_SVHN_vae_high_iteration1_X2_Y8,5,SVHN,vae,high,1,2,8,Not a House Number,7,1,1,1,0,N/A,no
375_SVHN_sd_low_iteration68_X4_Y1,375,SVHN,sd,low,68,4,1,1,4,1,0,0,0,yes,N/A
353_SVHN_sd_low_iteration1_X2_Y7,353,SVHN,sd,low,1,2,7,Not a House Number,3,1,1,1,0,N/A,no
112_SVHN_gan_high_iteration92_X8_Y3,112,SVHN,gan,high,92,8,3,8,8,0,0,0,0,yes,yes
79_SVHN_gan_high_iteration29_X8_Y6,79,SVHN,gan,high,29,8,6,8,8,0,0,0,0,yes,yes
152_SVHN_gan_low_iteration226_X6_Y8,152,SVHN,gan,low,226,6,8,8,4,1,1,0,0,yes,no
179_SVHN_gan_low_iteration186_X4_Y1,179,SVHN,gan,low,186,4,1,4,Not a House Number,0,1,0,1,N/A,N/A
155_SVHN_gan_low_iteration106_X6_Y8,155,SVHN,gan,low,106,6,8,Not a House Number,Not a House Number,1,1,1,1,no,N/A
296_SVHN_sd_high_iteration61_X5_Y3,296,SVHN,sd,high,61,5,3,Not a House Number,3,1,1,1,0,N/A,no
1_SVHN_vae_high_iteration39_X1_Y7,1,SVHN,vae,high,39,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
236_SVHN_sd_high_iteration45_X2_Y7,236,SVHN,sd,high,45,2,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
214_SVHN_vae_low_iteration73_X8_Y6,214,SVHN,vae,low,73,8,6,8,Not a House Number,0,1,0,1,N/A,N/A
115_SVHN_gan_high_iteration37_X1_Y7,115,SVHN,gan,high,37,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
177_SVHN_gan_low_iteration152_X4_Y7,177,SVHN,gan,low,152,4,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
76_SVHN_gan_high_iteration35_X8_Y3,76,SVHN,gan,high,35,8,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
137_SVHN_gan_high_iteration78_X9_Y8,137,SVHN,gan,high,78,9,8,8,Not a House Number,1,1,0,1,N/A,no
103_SVHN_gan_high_iteration1_X4_Y1,103,SVHN,gan,high,1,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
335_SVHN_sd_low_iteration1_X7_Y1,335,SVHN,sd,low,1,7,1,1,Not a House Number,1,1,0,1,N/A,no
71_SVHN_gan_high_iteration42_X1_Y4,71,SVHN,gan,high,42,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
181_SVHN_gan_low_iteration49_X2_Y1,181,SVHN,gan,low,49,2,1,3,Not a House Number,1,1,0,1,N/A,no
327_SVHN_sd_low_iteration173_X0_Y1,327,SVHN,sd,low,173,0,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
277_SVHN_sd_high_iteration1_X2_Y1,277,SVHN,sd,high,1,2,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
78_SVHN_gan_high_iteration22_X9_Y0,78,SVHN,gan,high,22,9,0,3,Not a House Number,1,1,0,1,N/A,no
109_SVHN_gan_high_iteration74_X4_Y7,109,SVHN,gan,high,74,4,7,2,Not a House Number,1,1,0,1,N/A,no
72_SVHN_gan_high_iteration76_X8_Y9,72,SVHN,gan,high,76,8,9,8,8,0,0,0,0,yes,yes
182_SVHN_gan_low_iteration23_X8_Y3,182,SVHN,gan,low,23,8,3,1,Not a House Number,1,1,0,1,N/A,no
2_SVHN_vae_high_iteration30_X1_Y9,2,SVHN,vae,high,30,1,9,9,9,1,1,0,0,yes,no
360_SVHN_sd_low_iteration81_X7_Y1,360,SVHN,sd,low,81,7,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
262_SVHN_sd_high_iteration5_X7_Y3,262,SVHN,sd,high,5,7,3,8,Not a House Number,1,1,0,1,N/A,no
136_SVHN_gan_high_iteration104_X1_Y4,136,SVHN,gan,high,104,1,4,3,Not a House Number,1,1,0,1,N/A,no
271_SVHN_sd_high_iteration1_X9_Y8,271,SVHN,sd,high,1,9,8,8,3,1,1,0,0,yes,no
111_SVHN_gan_high_iteration19_X7_Y1,111,SVHN,gan,high,19,7,1,7,2,0,1,0,0,yes,N/A
225_SVHN_sd_high_iteration1_X5_Y1,225,SVHN,sd,high,1,5,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
93_SVHN_gan_high_iteration1_X8_Y4,93,SVHN,gan,high,1,8,4,4,Not a House Number,1,1,0,1,N/A,no
134_SVHN_gan_high_iteration1_X4_Y0,134,SVHN,gan,high,1,4,0,1,Not a House Number,1,1,0,1,N/A,no
372_SVHN_sd_low_iteration49_X5_Y6,372,SVHN,sd,low,49,5,6,3,9,1,1,0,0,yes,no
96_SVHN_gan_high_iteration16_X1_Y6,96,SVHN,gan,high,16,1,6,5,Not a House Number,1,1,0,1,N/A,no
256_SVHN_sd_high_iteration23_X5_Y8,256,SVHN,sd,high,23,5,8,3,Not a House Number,1,1,0,1,N/A,no
317_SVHN_sd_low_iteration171_X7_Y1,317,SVHN,sd,low,171,7,1,1,Not a House Number,1,1,0,1,N/A,no
352_SVHN_sd_low_iteration41_X7_Y2,352,SVHN,sd,low,41,7,2,2,Not a House Number,1,1,0,1,N/A,no
69_SVHN_gan_high_iteration80_X5_Y6,69,SVHN,gan,high,80,5,6,7,5,1,0,0,0,yes,N/A
307_SVHN_sd_high_iteration11_X2_Y0,307,SVHN,sd,high,11,2,0,2,Not a House Number,0,1,0,1,N/A,N/A
257_SVHN_sd_high_iteration14_X7_Y6,257,SVHN,sd,high,14,7,6,6,Not a House Number,1,1,0,1,N/A,no
29_SVHN_vae_high_iteration1_X4_Y1,29,SVHN,vae,high,1,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
325_SVHN_sd_low_iteration222_X2_Y4,325,SVHN,sd,low,222,2,4,2,2,0,0,0,0,yes,yes
305_SVHN_sd_high_iteration1_X2_Y8,305,SVHN,sd,high,1,2,8,8,Not a House Number,1,1,0,1,N/A,no
356_SVHN_sd_low_iteration1_X6_Y0,356,SVHN,sd,low,1,6,0,0,0,1,1,0,0,yes,no
135_SVHN_gan_high_iteration46_X8_Y0,135,SVHN,gan,high,46,8,0,8,1,0,1,0,0,yes,N/A
229_SVHN_sd_high_iteration2_X7_Y3,229,SVHN,sd,high,2,7,3,0,Not a House Number,1,1,0,1,N/A,no
0_SVHN_vae_high_iteration8_X2_Y3,0,SVHN,vae,high,8,2,3,2,Not a House Number,0,1,0,1,N/A,N/A
60_SVHN_vae_high_iteration3_X5_Y3,60,SVHN,vae,high,3,5,3,8,5,1,0,0,0,yes,N/A
70_SVHN_gan_high_iteration52_X3_Y5,70,SVHN,gan,high,52,3,5,3,Not a House Number,0,1,0,1,N/A,N/A
132_SVHN_gan_high_iteration17_X5_Y6,132,SVHN,gan,high,17,5,6,5,5,0,0,0,0,yes,yes
108_SVHN_gan_high_iteration7_X9_Y1,108,SVHN,gan,high,7,9,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
338_SVHN_sd_low_iteration1_X5_Y3,338,SVHN,sd,low,1,5,3,5,5,0,0,0,0,yes,yes
297_SVHN_sd_high_iteration1_X5_Y3,297,SVHN,sd,high,1,5,3,5,Not a House Number,0,1,0,1,N/A,N/A
122_SVHN_gan_high_iteration41_X6_Y8,122,SVHN,gan,high,41,6,8,8,Not a House Number,1,1,0,1,N/A,no
284_SVHN_sd_high_iteration1_X2_Y1,284,SVHN,sd,high,1,2,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
343_SVHN_sd_low_iteration10_X7_Y0,343,SVHN,sd,low,10,7,0,0,Not a House Number,1,1,0,1,N/A,no
205_SVHN_vae_low_iteration116_X7_Y1,205,SVHN,vae,low,116,7,1,1,7,1,0,0,0,yes,N/A
87_SVHN_gan_high_iteration17_X9_Y0,87,SVHN,gan,high,17,9,0,9,Not a House Number,0,1,0,1,N/A,N/A
355_SVHN_sd_low_iteration110_X6_Y1,355,SVHN,sd,low,110,6,1,6,Not a House Number,0,1,0,1,N/A,N/A
273_SVHN_sd_high_iteration1_X0_Y6,273,SVHN,sd,high,1,0,6,8,Not a House Number,1,1,0,1,N/A,no
80_SVHN_gan_high_iteration40_X1_Y4,80,SVHN,gan,high,40,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
239_SVHN_sd_high_iteration1_X4_Y2,239,SVHN,sd,high,1,4,2,2,2,1,1,0,0,yes,no
260_SVHN_sd_high_iteration7_X4_Y0,260,SVHN,sd,high,7,4,0,1,1,1,1,0,0,yes,no
304_SVHN_sd_high_iteration1_X0_Y8,304,SVHN,sd,high,1,0,8,8,8,1,1,0,0,yes,no
279_SVHN_sd_high_iteration14_X8_Y9,279,SVHN,sd,high,14,8,9,0,9,1,1,0,0,yes,no
56_SVHN_vae_high_iteration3_X4_Y0,56,SVHN,vae,high,3,4,0,1,1,1,1,0,0,yes,no
228_SVHN_sd_high_iteration14_X1_Y3,228,SVHN,sd,high,14,1,3,8,3,1,1,0,0,yes,no
183_SVHN_gan_low_iteration42_X7_Y1,183,SVHN,gan,low,42,7,1,1,7,1,0,0,0,yes,N/A
249_SVHN_sd_high_iteration116_X5_Y6,249,SVHN,sd,high,116,5,6,6,5,1,0,0,0,yes,N/A
8_SVHN_vae_high_iteration20_X5_Y3,8,SVHN,vae,high,20,5,3,2,5,1,0,0,0,yes,N/A
39_SVHN_vae_high_iteration17_X1_Y3,39,SVHN,vae,high,17,1,3,1,Not a House Number,0,1,0,1,N/A,N/A
44_SVHN_vae_high_iteration6_X7_Y0,44,SVHN,vae,high,6,7,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
105_SVHN_gan_high_iteration4_X3_Y4,105,SVHN,gan,high,4,3,4,3,3,0,0,0,0,yes,yes
330_SVHN_sd_low_iteration1_X5_Y6,330,SVHN,sd,low,1,5,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
309_SVHN_sd_high_iteration4_X7_Y2,309,SVHN,sd,high,4,7,2,2,Not a House Number,1,1,0,1,N/A,no
133_SVHN_gan_high_iteration86_X8_Y6,133,SVHN,gan,high,86,8,6,8,8,0,0,0,0,yes,yes
339_SVHN_sd_low_iteration1_X1_Y7,339,SVHN,sd,low,1,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
127_SVHN_gan_high_iteration8_X6_Y0,127,SVHN,gan,high,8,6,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
66_SVHN_gan_high_iteration10_X1_Y4,66,SVHN,gan,high,10,1,4,8,Not a House Number,1,1,0,1,N/A,no
248_SVHN_sd_high_iteration15_X5_Y6,248,SVHN,sd,high,15,5,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
18_SVHN_vae_high_iteration24_X2_Y8,18,SVHN,vae,high,24,2,8,8,8,1,1,0,0,yes,no
283_SVHN_sd_high_iteration1_X0_Y9,283,SVHN,sd,high,1,0,9,Not a House Number,Not a House Number,1,1,1,1,no,N/A
367_SVHN_sd_low_iteration147_X7_Y1,367,SVHN,sd,low,147,7,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
308_SVHN_sd_high_iteration1_X6_Y1,308,SVHN,sd,high,1,6,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
194_SVHN_vae_low_iteration109_X3_Y1,194,SVHN,vae,low,109,3,1,8,3,1,0,0,0,yes,N/A
244_SVHN_sd_high_iteration1_X3_Y5,244,SVHN,sd,high,1,3,5,5,5,1,1,0,0,yes,no
120_SVHN_gan_high_iteration1_X3_Y0,120,SVHN,gan,high,1,3,0,3,3,0,0,0,0,yes,yes
219_SVHN_sd_high_iteration1_X2_Y3,219,SVHN,sd,high,1,2,3,Not a House Number,2,1,0,1,0,N/A,N/A
45_SVHN_vae_high_iteration13_X8_Y6,45,SVHN,vae,high,13,8,6,8,Not a House Number,0,1,0,1,N/A,N/A
311_SVHN_sd_high_iteration1_X5_Y1,311,SVHN,sd,high,1,5,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
374_SVHN_sd_low_iteration53_X3_Y2,374,SVHN,sd,low,53,3,2,3,3,0,0,0,0,yes,yes
67_SVHN_gan_high_iteration33_X6_Y5,67,SVHN,gan,high,33,6,5,5,Not a House Number,1,1,0,1,N/A,no
52_SVHN_vae_high_iteration11_X1_Y3,52,SVHN,vae,high,11,1,3,1,1,0,0,0,0,yes,yes
203_SVHN_vae_low_iteration41_X0_Y4,203,SVHN,vae,low,41,0,4,4,Not a House Number,1,1,0,1,N/A,no
28_SVHN_vae_high_iteration32_X0_Y9,28,SVHN,vae,high,32,0,9,0,0,0,0,0,0,yes,yes
318_SVHN_sd_low_iteration1_X8_Y3,318,SVHN,sd,low,1,8,3,8,8,0,0,0,0,yes,yes
276_SVHN_sd_high_iteration1_X0_Y4,276,SVHN,sd,high,1,0,4,5,Not a House Number,1,1,0,1,N/A,no
165_SVHN_gan_low_iteration41_X6_Y1,165,SVHN,gan,low,41,6,1,1,Not a House Number,1,1,0,1,N/A,no
139_SVHN_gan_high_iteration24_X4_Y7,139,SVHN,gan,high,24,4,7,4,Not a House Number,0,1,0,1,N/A,N/A
300_SVHN_sd_high_iteration17_X3_Y5,300,SVHN,sd,high,17,3,5,6,3,1,0,0,0,yes,N/A
